date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
12/17,2330,凱基,9200,1243,173,1070,3.32,1,buy
12/17,2330,美林,1440,2684,5224,-2540,7.88,1,sell
12/17,2330,元大證券,9800,2242,1659,583,1.81,2,buy
12/17,2330,摩根大通,8440,3454,5775,-2321,7.2,2,sell
12/17,2330,港商麥格理,1360,855,397,458,1.42,3,buy
12/17,2330,花旗環球,1590,564,2505,-1941,6.02,3,sell
12/17,2330,永豐金證券,0039004100300030,989,557,432,1.34,4,buy
12/17,2330,富邦證券,9600,588,2077,-1489,4.62,4,sell
12/17,2330,群益金鼎,9100,480,59,421,1.31,5,buy
12/17,2330,新加坡商瑞銀,1650,609,1682,-1073,3.33,5,sell
12/17,2330,台新證券,8150,556,167,389,1.21,6,buy
12/17,2330,美商高盛,1480,1470,2166,-696,2.16,6,sell
12/17,2330,國票證券,7790,388,5,383,1.19,7,buy
12/17,2330,元富,5920,444,1006,-562,1.74,7,sell
12/17,2330,凱基-台北,9268,1033,721,312,0.97,8,buy
12/17,2330,港商野村,1560,224,643,-419,1.3,8,sell
12/17,2330,統一,5850,612,338,274,0.85,9,buy
12/17,2330,台灣摩根士丹利,1470,609,862,-253,0.79,9,sell
12/17,2330,國泰-敦南,8888,249,40,209,0.65,10,buy
12/17,2330,元富-大裕,003500390032006c,12,163,-151,0.47,10,sell
12/17,2330,土銀,1030,197,3,194,0.6,11,buy
12/17,2330,香港上海匯豐,8960,98,222,-124,0.38,11,sell
12/17,2330,法銀巴黎,8900,192,9,183,0.57,12,buy
12/17,2330,國泰證券,8880,303,396,-93,0.29,12,sell
12/17,2330,中國信託,6160,472,290,182,0.56,13,buy
12/17,2330,元大-新生,0039003800310058,2,69,-67,0.21,13,sell
12/17,2330,合庫證券,1020,146,9,137,0.43,14,buy
12/17,2330,第一金,5380,8,62,-54,0.17,14,sell
12/17,2330,凱基-站前,0039003200300046,133,3,130,0.4,15,buy
12/17,2330,元大-福營,0039003800310046,15,60,-45,0.14,15,sell
12/17,2317,凱基,9200,3083,87,2996,6.94,1,buy
12/17,2317,富邦證券,9600,1348,6187,-4839,11.21,1,sell
12/17,2317,國泰-敦南,8888,719,291,428,0.99,2,buy
12/17,2317,摩根大通,8440,797,4067,-3270,7.58,2,sell
12/17,2317,台新證券,8150,442,130,312,0.72,3,buy
12/17,2317,美林,1440,1117,4281,-3164,7.33,3,sell
12/17,2317,元大-頭份,0039003800330055,313,13,300,0.7,4,buy
12/17,2317,新加坡商瑞銀,1650,1155,4282,-3127,7.24,4,sell
12/17,2317,統一,5850,486,199,287,0.66,5,buy
12/17,2317,台灣摩根士丹利,1470,490,2739,-2249,5.21,5,sell
12/17,2317,台新-台中,0038003100350042,267,14,253,0.59,6,buy
12/17,2317,花旗環球,1590,383,1888,-1505,3.49,6,sell
