date,code,name,foreign_net,trust_net,dealer_net,market
2025-09-11,00679B,元大美債20年,6891000,2740000,0,TPEX
2025-09-11,00687B,國泰20年美債,3263106,0,0,TPEX
2025-09-11,00687C,國泰20年美債+櫃U,0,0,0,TPEX
2025-09-11,00694B,富邦美債1-3,177000,0,0,TPEX
2025-09-11,00695B,富邦美債7-10,0,0,0,TPEX
2025-09-11,00696B,富邦美債20年,1629000,0,0,TPEX
2025-09-11,00697B,元大美債7-10,3000,0,0,TPEX
2025-09-11,00719B,元大美債1-3,578050,0,0,TPEX
2025-09-11,00720B,元大投資級公司債,704000,0,0,TPEX
2025-09-11,00722B,群益投資級電信債,111000,0,0,TPEX
2025-09-11,00723B,群益投資級科技債,2000,0,0,TPEX
2025-09-11,00724B,群益投資級金融債,388000,0,0,TPEX
2025-09-11,00725B,國泰投資級公司債,1104000,0,0,TPEX
2025-09-11,00726B,國泰新興投等債,51000,0,0,TPEX
2025-09-11,00727B,國泰優選非投等債,0,0,0,TPEX
2025-09-11,00734B,台新JPM新興債,0,0,0,TPEX
2025-09-11,00740B,富邦全球投等債,715000,0,0,TPEX
2025-09-11,00741B,富邦全球非投等債,0,0,0,TPEX
2025-09-11,00746B,富邦A級公司債,661000,0,0,TPEX
2025-09-11,00749B,凱基新興債10+,0,0,0,TPEX
2025-09-11,00750B,凱基科技債10+,0,0,0,TPEX
2025-09-11,00751B,元大AAA至A公司債,214000,0,0,TPEX
2025-09-11,00754B,群益AAA-AA公司債,42000,0,0,TPEX
2025-09-11,00755B,群益投資級公用債,22000,0,0,TPEX
2025-09-11,00756B,群益投等新興公債,164000,0,0,TPEX
2025-09-11,00758B,復華能源債,0,0,0,TPEX
2025-09-11,00759B,復華製藥債,0,0,0,TPEX
2025-09-11,00760B,復華新興企業債,51000,0,0,TPEX
2025-09-11,00761B,國泰A級公司債,201000,0,0,TPEX
2025-09-11,00764B,群益25年美債,1875000,0,0,TPEX
2025-09-11,00768B,復華20年美債,2455000,0,0,TPEX
2025-09-11,00772B,中信高評級公司債,987000,0,0,TPEX
2025-09-11,00773B,中信優先金融債,622000,0,0,TPEX
