date,code,name,foreign_net,trust_net,dealer_net,market
2025-09-11,0050,元大台灣50,11379253,0,0,TWSE
2025-09-11,0051,元大中型100,0,0,0,TWSE
2025-09-11,0052,富邦科技,39451,23000,0,TWSE
2025-09-11,0053,元大電子,1000,0,0,TWSE
2025-09-11,0055,元大MSCI金融,19000,0,0,TWSE
2025-09-11,0056,元大高股息,526529,0,0,TWSE
2025-09-11,0057,富邦摩台,600,0,0,TWSE
2025-09-11,0061,元大寶滬深,3000,0,0,TWSE
2025-09-11,00631L,元大台灣50正2,140653,0,0,TWSE
2025-09-11,00632R,元大台灣50反1,56000,0,0,TWSE
2025-09-11,00633L,富邦上証正2,1057000,0,0,TWSE
2025-09-11,00634R,富邦上証反1,0,0,0,TWSE
2025-09-11,00635U,期元大S&P黃金,32200,0,0,TWSE
2025-09-11,00636,國泰中國A50,12000,0,0,TWSE
2025-09-11,00636K,國泰中國A50+U,0,0,0,TWSE
2025-09-11,00637L,元大滬深300正2,9901000,0,0,TWSE
2025-09-11,00638R,元大滬深300反1,52000,0,0,TWSE
2025-09-11,00639,富邦深100,108000,0,0,TWSE
2025-09-11,00640L,富邦日本正2,6000,0,0,TWSE
2025-09-11,00641R,富邦日本反1,0,0,0,TWSE
2025-09-11,00642U,期元大S&P石油,0,0,0,TWSE
2025-09-11,00643,群益深証中小,20000,0,0,TWSE
2025-09-11,00645,富邦日本,4000,0,0,TWSE
2025-09-11,00646,元大S&P500,248318,0,0,TWSE
2025-09-11,00647L,元大S&P500正2,1000,0,0,TWSE
2025-09-11,00648R,元大S&P500反1,8000,0,0,TWSE
2025-09-11,00650L,復華香港正2,102000,0,0,TWSE
2025-09-11,00651R,復華香港反1,0,0,0,TWSE
2025-09-11,00652,富邦印度,281,0,0,TWSE
2025-09-11,00653L,富邦印度正2,1000,0,0,TWSE
2025-09-11,00654R,富邦印度反1,0,0,0,TWSE
2025-09-11,00655L,國泰中國A50正2,13000,0,0,TWSE
2025-09-11,00656R,國泰中國A50反1,0,0,0,TWSE
2025-09-11,00657,國泰日經225,0,0,0,TWSE
2025-09-11,00657K,國泰日經225+U,0,0,0,TWSE
2025-09-11,00660,元大歐洲50,1000,0,0,TWSE
2025-09-11,00661,元大日經225,8000,0,0,TWSE
2025-09-11,00662,富邦NASDAQ,194030,0,0,TWSE
2025-09-11,00663L,國泰臺灣加權正2,0,0,0,TWSE
2025-09-11,00664R,國泰臺灣加權反1,0,0,0,TWSE
2025-09-11,00665L,富邦恒生國企正2,2472000,0,0,TWSE
2025-09-11,00666R,富邦恒生國企反1,274000,0,0,TWSE
